t_sec,mem_available_mb
0,6683.6
1,6830.7
2,6829.0
4,6827.7
4,6831.5
6,6837.6
6,6836.9
8,6836.1
8,6837.2
9,6840.5
10,6841.0
11,6844.4
12,6842.8
13,6837.2
14,6838.3
15,6837.2
16,6726.8
17,6694.0
18,6748.3
19,6745.9
20,6744.4
21,6746.5
22,6745.6
23,6745.4
24,6750.1
25,6748.8
26,6747.5
27,6752.7
28,6752.5
29,6751.8
30,6754.4
31,6755.1
32,6749.2
34,6749.4
34,6750.8
36,6744.9
36,6746.4
38,6746.6
38,6745.0
40,6745.0
40,6751.5
42,6752.9
42,6752.1
44,6752.3
44,6753.8
46,6757.7
46,6753.6
48,6748.1
48,6741.9
50,6740.7
50,6872.0
52,6872.4
52,6874.0
54,6868.6
54,6870.0
56,6872.0
56,6870.2
58,6868.6
58,6871.2
60,6870.7
60,6867.5
62,6867.5
62,6866.3
64,6866.8
64,6870.2
66,6872.8
66,6872.4
68,6872.1
68,6870.3
70,6870.6
70,6870.1
72,6872.9
72,6875.7
74,6875.9
74,6878.2
76,6880.6
76,6880.9
78,6881.7
78,6883.6
80,6882.5
80,6878.3
82,6876.7
82,6873.9
84,6871.4
84,6639.6
86,6640.8
86,6643.2
88,6644.0
88,6646.7
90,6649.8
90,6652.6
92,6650.4
92,6646.9
94,6646.3
94,6644.9
96,6764.2
96,6672.9
98,6674.6
98,6670.5
100,6671.0
100,6674.9
102,6672.7
102,6672.8
104,6673.1
104,6673.5
106,6672.1
106,6674.1
108,6677.1
108,6677.9
110,6679.1
110,6678.4
112,6677.2
112,6674.1
114,6667.8
114,6674.7
116,6677.5
116,6677.0
118,6677.2
118,6679.2
120,6674.2
120,6670.9
122,6674.1
122,6677.1
124,6675.1
124,6673.9
126,6673.9
126,6675.1
128,6679.7
128,6685.0
130,6685.7
130,6683.6
132,6681.6
132,6679.3
134,6680.1
134,6676.6
136,6673.8
136,6673.1
138,6674.9
138,6677.9
140,6681.4
140,6687.0
142,6686.7
142,6688.5
144,6691.9
144,6692.8
146,6690.5
146,6690.5
148,6691.7
148,6690.7
150,6693.2
150,6693.0
152,6693.2
152,6691.9
154,6692.0
154,6689.4
156,6687.4
156,6685.7
158,6685.2
158,6684.1
160,6680.9
160,6679.7
162,6681.6
162,6681.5
164,6678.7
164,6681.8
166,6679.9
166,6733.1
168,6734.4
168,6737.3
170,6738.3
170,6736.2
172,6737.7
172,6734.1
174,6732.0
174,6726.5
176,6729.4
176,6728.7
178,6663.8
178,6660.6
180,6659.4
180,6657.7
182,6662.0
182,6668.1
184,6664.2
184,6660.8
186,6659.9
186,6746.3
188,6947.2
188,7148.1
190,7340.8
190,7529.3
192,7712.9
192,7888.8
