t_sec,mem_available_mb
0,8461.7
1,7647.0
2,7645.4
4,7646.4
4,8013.2
6,8014.8
6,8020.3
8,8026.1
8,8034.5
9,8030.7
10,7768.3
11,7765.0
12,7766.8
13,7769.2
14,7764.1
15,7756.0
16,7752.1
17,7749.8
18,7866.3
19,7865.3
20,7863.8
21,7857.5
22,7855.5
23,7858.2
24,7855.0
25,7860.6
26,7870.6
27,7874.5
28,7873.4
29,7872.3
30,7876.1
31,7877.3
32,7879.9
34,7877.1
34,7869.0
36,7867.5
36,7869.0
38,7870.0
38,7864.9
40,7859.5
40,7857.6
42,7856.9
42,7858.5
44,7861.6
44,7862.2
46,7870.5
46,7879.2
48,7884.7
48,7889.1
50,7890.5
50,7889.4
52,7882.5
52,7882.2
54,7877.1
54,7876.3
56,7876.3
56,7876.3
58,7877.0
58,7877.9
60,7877.6
60,7878.3
62,7878.9
62,7874.0
64,7876.8
64,7870.3
66,7869.9
66,7871.4
68,7877.3
68,7877.4
70,7877.0
70,7877.9
72,7873.1
72,7875.7
74,7875.1
74,7868.0
76,7869.7
76,7864.3
78,7863.2
78,7864.9
80,7870.6
80,7866.6
82,7862.9
82,7865.6
84,7865.6
84,7871.2
86,7872.6
86,7873.0
88,7866.2
88,7872.0
90,7877.0
90,7876.3
92,7874.8
92,7872.8
94,7868.1
94,7865.3
96,7870.8
96,7867.5
98,7865.7
98,7865.3
100,7865.2
100,7868.3
102,7880.5
102,7884.2
104,7879.8
104,7881.0
106,7881.6
106,7884.8
108,7887.9
108,7886.3
110,7878.3
110,7880.1
112,7889.1
112,7885.9
114,7882.2
114,7879.1
116,7876.0
116,7872.0
118,7870.0
118,7862.8
120,7861.0
120,7864.1
122,7862.1
122,7862.5
124,7862.8
124,7867.4
126,7864.0
126,7868.4
128,7865.2
128,7869.0
130,7874.0
130,7875.5
132,7876.1
132,7873.6
134,7879.7
134,7879.4
136,6582.1
136,6583.2
138,6583.9
138,6585.7
140,6585.5
140,6590.9
142,6595.0
142,6598.1
144,6595.6
144,6593.7
146,6590.9
146,6587.0
148,6582.4
148,6578.6
150,6572.7
150,6569.6
152,6567.0
152,6576.7
154,6721.0
154,6886.8
156,7049.4
156,7208.6
158,7360.5
158,7507.9
160,7653.5
160,7797.1
162,7919.9
162,8047.5
164,8159.5
164,8255.7
166,8348.3
166,8430.5
168,8494.8
168,8540.0
170,8558.0
170,8558.0
172,8558.0
172,8558.0
174,8558.0
174,8558.0
176,8529.2
176,8482.1
178,8412.6
178,8328.3
180,8229.5
180,8123.9
182,8005.2
182,7874.6
184,7735.6
184,8035.9
186,7893.4
186,7748.4
188,7595.4
188,7434.9
190,7273.5
190,7110.5
192,7027.7
192,7033.1
194,7033.3
194,7029.4
196,7027.9
196,7026.6
198,7026.3
198,7174.8
200,7168.8
200,7172.0
202,7167.3
202,7159.4
204,7161.2
204,7164.9
206,7160.2
206,7153.8
208,7156.8
208,7151.3
210,7156.2
210,7163.3
212,7158.4
212,7156.6
214,7160.3
214,7161.4
216,7160.2
216,7159.1
218,7155.9
218,7152.9
220,7159.0
220,7163.7
222,7163.6
222,7164.8
